源要素,源要素类型,关联角色,关联类,目标要素,目标要素类型,关联类型,GML 已承载,条文出处,备注
船长超过90米的船舶 / Vessels with a length of over 90 meters,Applicability,theApplicableRxN,InclusionType,平陆运河航行警戒区规定 / Regulation on Navigation Precautionary Areas of the Pinglu Canal,Regulations,,否，需系统内补录,,
外国籍船舶 / Ships In Foreign Nationality,Applicability,theApplicableRxN,InclusionType,平陆运河内河水域引航规定 / Pilotage Regulations for Inland Waters of the Pinglu Canal,Regulations,,否，需系统内补录,,
船长超过40米的船舶 / Vessels with a length of over 40 meters,Applicability,theApplicableRxN,InclusionType,平陆运河航道通航禁止行为 / Prohibited Acts for Navigation in the Pinglu Canal Fairway,Regulations,,否，需系统内补录,,
平陆运河航行警戒区规定 / Regulation on Navigation Precautionary Areas of the Pinglu Canal,Regulations,isApplicableTo,InclusionType,船长超过90米的船舶 / Vessels with a length of over 90 meters,Applicability,,否，需系统内补录,,
平陆运河内河水域引航规定 / Pilotage Regulations for Inland Waters of the Pinglu Canal,Regulations,isApplicableTo,InclusionType,外国籍船舶 / Ships In Foreign Nationality,Applicability,,否，需系统内补录,,
平陆运河航道通航禁止行为 / Prohibited Acts for Navigation in the Pinglu Canal Fairway,Regulations,isApplicableTo,InclusionType,船长超过40米的船舶 / Vessels with a length of over 40 meters,Applicability,,否，需系统内补录,,
钦州水上综合服务区掉头区 / Qinzhou Comprehensive Water Service Turning Area,RestrictedAreaNavigational,permission,PermissionType,船长小于90米的船舶 / Vessels with a length of less than 90m,Applicability,,否，需系统内补录,,
钦州水上综合服务区掉头区 / Qinzhou Comprehensive Water Service Turning Area,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
1号航行警戒区 / Precautionary Area No.1,CautionArea,theRxN,AssociatedRxN,平陆运河航行警戒区规定 / Regulation on Navigation Precautionary Areas of the Pinglu Canal,Regulations,—,—,,
牛江河口掉头区 / Niujiang River Mouth Turning Area,RestrictedAreaNavigational,permission,PermissionType,船长小于90米的船舶 / Vessels with a length of less than 90m,Applicability,,否，需系统内补录,,
牛江河口掉头区 / Niujiang River Mouth Turning Area,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
老村河口掉头区 / Laocun River Mouth Turning Area,RestrictedAreaNavigational,permission,PermissionType,船长小于90米的船舶 / Vessels with a length of less than 90m,Applicability,,否，需系统内补录,,
老村河口掉头区 / Laocun River Mouth Turning Area,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
青塘河口掉头区 / Qingtang River Mouth Turning Area,RestrictedAreaNavigational,permission,PermissionType,船长小于90米的船舶 / Vessels with a length of less than 90m,Applicability,,否，需系统内补录,,
青塘河口掉头区 / Qingtang River Mouth Turning Area,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
平塘江口至北部湾大桥水域 / Pingtang River Mouth to Beibu Gulf Bridge Waters,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
1号弯曲航段 / No.1 Curved Fairway Section,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
北部湾大桥至龙门大桥水域 / Beibu Gulf Bridge to Longmen Bridge Waters,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
沙坪河口掉头区 / Shaping River Mouth Turning Area,RestrictedAreaNavigational,permission,PermissionType,船长小于90米的船舶 / Vessels with a length of less than 90m,Applicability,,否，需系统内补录,,
沙坪河口掉头区 / Shaping River Mouth Turning Area,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
"马道枢纽船闸下游待闸锚地 / Downstream Approach Anchorage,Madao Hub",RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
青年枢纽—G75兰海高速钦江大桥 / Qingnian Hub-G75 Lan‑Hai Expressway Qinjiang River Bridge,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
"企石船闸上游待闸锚地 / Upstream Approach Anchorage, Qishi Hub",RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
平陆运河 / Pinglu Canal,RestrictedAreaNavigational,theRxN,AssociatedRxN,平陆运河内河水域引航规定 / Pilotage Regulations for Inland Waters of the Pinglu Canal,Regulations,—,—,,
平陆运河 / Pinglu Canal,RestrictedAreaNavigational,theRxN,AssociatedRxN,平陆运河航行警戒区规定 / Regulation on Navigation Precautionary Areas of the Pinglu Canal,Regulations,—,—,,
平陆运河 / Pinglu Canal,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
平塘江口至北部湾大桥水域 / Pingtang River Mouth to Beibu Gulf Bridge Waters,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
平塘江口 / Pingtang River Mouth,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
3号航行警戒区 / Precautionary Area No.3,CautionArea,theRxN,AssociatedRxN,平陆运河航行警戒区规定 / Regulation on Navigation Precautionary Areas of the Pinglu Canal,Regulations,—,—,,
平塘江口至北部湾大桥水域 / Pingtang River Mouth to Beibu Gulf Bridge Waters,RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
"企石船闸下游待闸锚地 / Downstream Approach Anchorage, Qishi Hub",RestrictedAreaNavigational,controlAuthority,SrvControl,广西海事局 / GUANGXI MSA,Authority,—,—,,
平陆运河富裕水深区2 / Pinglu Canal Underkeel Clearance Area 2,UnderkeelClearanceAllowanceArea,permission,PermissionType,载运散装液体危险货物的船舶 / Vessels Carrying Liquid Dangerous Goods in Bulk,Applicability,,否，需系统内补录,,
2号航行警戒区 / Precautionary Area No.2,CautionArea,theRxN,AssociatedRxN,平陆运河航行警戒区规定 / Regulation on Navigation Precautionary Areas of the Pinglu Canal,Regulations,—,—,,
